address,city,state,name,google_url,place_id,latitude,longitude
128 Bedford Ave,,NY,Soft Spot,https://plus.google.com/108166561315032013796/about?hl=en,ChIJO6_O_lxZwokRQ3c5GO6sTkE,40.719417,-73.956245
18 Spring St,New York,NY,Mother's Ruin,https://plus.google.com/116549849386974987883/about?hl=en,ChIJY-JJoYhZwokRF8FY6XrJo34,40.721331,-73.994996
4238 El Camino Real,Palo Alto,CA,Days Inn Palo Alto,https://plus.google.com/103072274009650470090/about?hl=en,ChIJ8f-cbXm6j4ARAaN2FcMlALk,37.408286,-122.121699
1067 N San Antonio Rd,Los Altos,CA,Chef Chu's,https://plus.google.com/101639171225401896272/about?hl=en,ChIJ1T9Tk5uwj4ARFI0FkzPKOvI,37.400646,-122.113616
4164 El Camino Real,Palo Alto,CA,The Zen Hotel,https://plus.google.com/107777413020965678984/about?hl=en,ChIJx48CuHy6j4AR2dJh5IsI_Qw,37.412115,-122.125399
686 Avenue of the Americas,New York,NY,McDonald's,https://plus.google.com/101272314392895313740/about?hl=en,ChIJD7pnn6RZwokRJO3P95qqzZk,40.74193,-73.993249
562 Sutter St,San Francisco,CA,Hotel Rex,https://plus.google.com/116721191480120925713/about?hl=en,ChIJ21HxgI6AhYAReO8Xw5EZUFM,37.789236,-122.409734
261 Broadway,New York,NY,Bank of America,https://plus.google.com/115558275169595376331/about?hl=en,ChIJqXGRqxhawokROuj3j5MZSbk,40.713877,-74.006809
,New York,New York,Parsons East,https://maps.google.com/maps/place?q=Parsons+East&ftid=0x89c259984509d9bb:0xb2bf8fc24df136a6,ChIJu9kJRZhZwokRpjbxTcKPv7I,40.7351261,-73.9926904
52 E 14th St,New York,NY,Citibank,https://plus.google.com/103403651769884485565/about?hl=en,ChIJ7_nh6JhZwokRpQ3YgsyIT2c,40.73437,-73.990379